account_cd,account_nm,list_nm,list_no
A1,임원,임직원현황(18.9월 이전),SA001
A11,임원_상임임원,임직원현황(18.9월 이전),SA001
A12,임원_비상임임원,임직원현황(18.9월 이전),SA001
A13,임원_이사대우,임직원현황(18.9월 이전),SA001
A2,일반직원,임직원현황(18.9월 이전),SA001
A21,일반직원_책임자,임직원현황(18.9월 이전),SA001
A22,일반직원_행원,임직원현황(18.9월 이전),SA001
A3,서무직원,임직원현황(18.9월 이전),SA001
A4,별정직원,임직원현황(18.9월 이전),SA001
A5,무기계약직원,임직원현황(18.9월 이전),SA001
A,총임직원,임직원현황(18.9월 이전),SA001
B,해외근무임직원,임직원현황(18.9월 이전),SA001
C,현지채용임직원,임직원현황(18.9월 이전),SA001
D,직원외인원,임직원현황(18.9월 이전),SA001
A1,국내,영업점포현황,SA002
A11,국내_지점,영업점포현황,SA002
A12,국내_출장소,영업점포현황,SA002
A2,국외,영업점포현황,SA002
A21,국외_지점,영업점포현황,SA002
A22,국외_사무소,영업점포현황,SA002
A23,국외_현지법인,영업점포현황,SA002
A,합계,영업점포현황,SA002
A,CD,자동화기기 설치현황,SA026
B,ATM,자동화기기 설치현황,SA026
C,기타,자동화기기 설치현황,SA026
D,합계,자동화기기 설치현황,SA026
A,임원,임직원현황(18.12월 이후),SA101
A1,임원_등기임원,임직원현황(18.12월 이후),SA101
A2,임원_업무집행책임자,임직원현황(18.12월 이후),SA101
B,직원,임직원현황(18.12월 이후),SA101
B1,직원_정규직원,임직원현황(18.12월 이후),SA101
B11,직원_정규직원_일반직,임직원현황(18.12월 이후),SA101
B12,직원_정규직원_무기계약직,임직원현황(18.12월 이후),SA101
B2,직원_비정규직원,임직원현황(18.12월 이후),SA101
C,총임직원,임직원현황(18.12월 이후),SA101
D,해외근무임직원,임직원현황(18.12월 이후),SA101
A1,현금 및 예치금,요약재무상태표(자산-은행계정),SA003
A11,현금 및 예치금_(현재가치할인차금),요약재무상태표(자산-은행계정),SA003
A12,현금 및 예치금_현금,요약재무상태표(자산-은행계정),SA003
A13,현금 및 예치금_외국통화,요약재무상태표(자산-은행계정),SA003
A14,현금 및 예치금_원화예치금,요약재무상태표(자산-은행계정),SA003
A15,현금 및 예치금_외화예치금,요약재무상태표(자산-은행계정),SA003
A2,유가증권,요약재무상태표(자산-은행계정),SA003
A21,유가증권_단기매매증권,요약재무상태표(자산-은행계정),SA003
A25,유가증권_당기손익인식증권,요약재무상태표(자산-은행계정),SA003
A22,유가증권_매도가능증권,요약재무상태표(자산-은행계정),SA003
A23,유가증권_만기보유증권,요약재무상태표(자산-은행계정),SA003
A24,유가증권_지분법적용투자주식,요약재무상태표(자산-은행계정),SA003
A26,유가증권_자회사등투자지분,요약재무상태표(자산-은행계정),SA003
A3,대출채권,요약재무상태표(자산-은행계정),SA003
A31,대출채권_(대손충당금),요약재무상태표(자산-은행계정),SA003
A32,대출채권_(현재가치할인차금),요약재무상태표(자산-은행계정),SA003
A33,대출채권_원화대출금,요약재무상태표(자산-은행계정),SA003
A34,대출채권_외화대출금,요약재무상태표(자산-은행계정),SA003
A35,대출채권_매입어음,요약재무상태표(자산-은행계정),SA003
A36,대출채권_매입외환,요약재무상태표(자산-은행계정),SA003
A37,대출채권_지급보증대지급금,요약재무상태표(자산-은행계정),SA003
A38,대출채권_팩토링채권,요약재무상태표(자산-은행계정),SA003
A39,대출채권_신용카드채권,요약재무상태표(자산-은행계정),SA003
A3A,대출채권_환매조건부채권매수,요약재무상태표(자산-은행계정),SA003
A3B,대출채권_내국수입유산스,요약재무상태표(자산-은행계정),SA003
A3C,대출채권_콜론,요약재무상태표(자산-은행계정),SA003
A3D,대출채권_출자전환채권,요약재무상태표(자산-은행계정),SA003
A3E,대출채권_사모사채,요약재무상태표(자산-은행계정),SA003
A3F,대출채권_기타대출채권,요약재무상태표(자산-은행계정),SA003
A4,유형자산,요약재무상태표(자산-은행계정),SA003
A41,유형자산_업무용 유형자산,요약재무상태표(자산-은행계정),SA003
A42,유형자산_업무용 유형자산_(감가상각누계액),요약재무상태표(자산-은행계정),SA003
A46,유형자산_업무용 유형자산_(손상차손누계액),요약재무상태표(자산-은행계정),SA003
A44,유형자산_비업무용 유형자산,요약재무상태표(자산-은행계정),SA003
A45,유형자산_비업무용 유형자산_(비업무용자산평가충당금),요약재무상태표(자산-은행계정),SA003
A5,기타자산,요약재무상태표(자산-은행계정),SA003
A51,기타자산_보증금,요약재무상태표(자산-은행계정),SA003
A52,기타자산_미수금,요약재무상태표(자산-은행계정),SA003
A53,기타자산_미수수익,요약재무상태표(자산-은행계정),SA003
A54,기타자산_선급비용,요약재무상태표(자산-은행계정),SA003
A55,기타자산_이연법인세차,요약재무상태표(자산-은행계정),SA003
A56,기타자산_신탁계정대여금,요약재무상태표(자산-은행계정),SA003
A58,기타자산_무형자산,요약재무상태표(자산-은행계정),SA003
A57,기타자산_기타,요약재무상태표(자산-은행계정),SA003
A,자산총계,요약재무상태표(자산-은행계정),SA003
A11,예수부채,요약재무상태표(부채 및 자본-은행계정),SA004
A111,예수부채_원화예수금,요약재무상태표(부채 및 자본-은행계정),SA004
A112,예수부채_외화예수금,요약재무상태표(부채 및 자본-은행계정),SA004
A113,예수부채_양도성예수금,요약재무상태표(부채 및 자본-은행계정),SA004
A15,차입부채,요약재무상태표(부채 및 자본-은행계정),SA004
A121,차입금_원화차입금,요약재무상태표(부채 및 자본-은행계정),SA004
A122,차입금_외화차입금,요약재무상태표(부채 및 자본-은행계정),SA004
A123,차입금_환매조건부 채권매도,요약재무상태표(부채 및 자본-은행계정),SA004
A124,차입금_매출어음,요약재무상태표(부채 및 자본-은행계정),SA004
A125,차입금_콜머니,요약재무상태표(부채 및 자본-은행계정),SA004
A126,차입금_신용카드채권매출,요약재무상태표(부채 및 자본-은행계정),SA004
A127,차입금_기타차입금,요약재무상태표(부채 및 자본-은행계정),SA004
A131,사채_원화사채,요약재무상태표(부채 및 자본-은행계정),SA004
A132,사채_외화사채,요약재무상태표(부채 및 자본-은행계정),SA004
A133,사채_원화·외화 할인(할증)발행차금,요약재무상태표(부채 및 자본-은행계정),SA004
A14,기타부채,요약재무상태표(부채 및 자본-은행계정),SA004
A141,기타부채_퇴직급여충당금,요약재무상태표(부채 및 자본-은행계정),SA004
A14F,기타부채_퇴직급여부채,요약재무상태표(부채 및 자본-은행계정),SA004
A142,기타부채_(국민연금전환금),요약재무상태표(부채 및 자본-은행계정),SA004
A143,기타부채_(퇴직보험예치금),요약재무상태표(부채 및 자본-은행계정),SA004
A144,기타부채_지급보증충당금,요약재무상태표(부채 및 자본-은행계정),SA004
A14E,기타부채_미사용약정충당금,요약재무상태표(부채 및 자본-은행계정),SA004
A145,기타부채_신탁계정차,요약재무상태표(부채 및 자본-은행계정),SA004
A146,기타부채_미지급외국환채무,요약재무상태표(부채 및 자본-은행계정),SA004
A147,기타부채_미지급금,요약재무상태표(부채 및 자본-은행계정),SA004
A148,기타부채_미지급비용,요약재무상태표(부채 및 자본-은행계정),SA004
A149,기타부채_선수수익,요약재무상태표(부채 및 자본-은행계정),SA004
A14A,기타부채_팩토링채권미지급금,요약재무상태표(부채 및 자본-은행계정),SA004
A14B,기타부채_수입보증금,요약재무상태표(부채 및 자본-은행계정),SA004
A14C,기타부채_이연법인세대,요약재무상태표(부채 및 자본-은행계정),SA004
A14D,기타부채_기타부채,요약재무상태표(부채 및 자본-은행계정),SA004
A1,부채총계,요약재무상태표(부채 및 자본-은행계정),SA004
A21,자본금,요약재무상태표(부채 및 자본-은행계정),SA004
A22,자본잉여금,요약재무상태표(부채 및 자본-은행계정),SA004
A221,자본잉여금_주식발행초과금,요약재무상태표(부채 및 자본-은행계정),SA004
A222,자본잉여금_감자차익,요약재무상태표(부채 및 자본-은행계정),SA004
A223,자본잉여금_기타자본잉여금,요약재무상태표(부채 및 자본-은행계정),SA004
A23,이익잉여금,요약재무상태표(부채 및 자본-은행계정),SA004
A231,이익잉여금_이익준비금,요약재무상태표(부채 및 자본-은행계정),SA004
A232,이익잉여금_기업합리화적립금,요약재무상태표(부채 및 자본-은행계정),SA004
A233,이익잉여금_임의적립금,요약재무상태표(부채 및 자본-은행계정),SA004
A234,이익잉여금_기타준비금,요약재무상태표(부채 및 자본-은행계정),SA004
A236,이익잉여금_처분전이익잉여금,요약재무상태표(부채 및 자본-은행계정),SA004
A24,자본조정 및 기타포괄손익누계액,요약재무상태표(부채 및 자본-은행계정),SA004
A241,자본조정 및 기타포괄손익누계액_주식할인발행차금,요약재무상태표(부채 및 자본-은행계정),SA004
A242,자본조정 및 기타포괄손익누계액_자기주식,요약재무상태표(부채 및 자본-은행계정),SA004
A243,자본조정 및 기타포괄손익누계액_매도가능증권평가손익,요약재무상태표(부채 및 자본-은행계정),SA004
A244,자본조정 및 기타포괄손익누계액_기타,요약재무상태표(부채 및 자본-은행계정),SA004
A2,자본총계,요약재무상태표(부채 및 자본-은행계정),SA004
A,부채 및 자본총계,요약재무상태표(부채 및 자본-은행계정),SA004
A,확정지급보증,난외계정(은행계정),SA005
B,미확정지급보증,난외계정(은행계정),SA005
B1,미확정지급보증_신용장개설관련,난외계정(은행계정),SA005
B2,미확정지급보증_기타,난외계정(은행계정),SA005
C,약정,난외계정(은행계정),SA005
D,배서어음,난외계정(은행계정),SA005
E,파생상품거래,난외계정(은행계정),SA005
F,대손상각채권,난외계정(은행계정),SA005
G,창구매각유가증권,난외계정(은행계정),SA005
H,환매권부대출채권매각,난외계정(은행계정),SA005
A1,원가성자금조달,주요자금조달 및 운용(은행계정),SA006
A11,원가성자금조달_원화예수금,주요자금조달 및 운용(은행계정),SA006
A12,원가성자금조달_원화양도성예금,주요자금조달 및 운용(은행계정),SA006
A13,원가성자금조달_원화차입금,주요자금조달 및 운용(은행계정),SA006
A14,원가성자금조달_원화사채,주요자금조달 및 운용(은행계정),SA006
A15,원가성자금조달_기타원화자금조달,주요자금조달 및 운용(은행계정),SA006
A16,원가성자금조달_외화예수금,주요자금조달 및 운용(은행계정),SA006
A17,원가성자금조달_외화차입금,주요자금조달 및 운용(은행계정),SA006
A18,원가성자금조달_외화사채,주요자금조달 및 운용(은행계정),SA006
A19,원가성자금조달_기타외화자금조달,주요자금조달 및 운용(은행계정),SA006
A2,무원가성자금조달,주요자금조달 및 운용(은행계정),SA006
A21,무원가성자금조달_자기자본,주요자금조달 및 운용(은행계정),SA006
A22,무원가성자금조달_요구불예금,주요자금조달 및 운용(은행계정),SA006
A23,무원가성자금조달_제충당금,주요자금조달 및 운용(은행계정),SA006
A24,무원가성자금조달_기타무원가조달,주요자금조달 및 운용(은행계정),SA006
A,조달(운용)계,주요자금조달 및 운용(은행계정),SA006
B1,수익성자금운용,주요자금조달 및 운용(은행계정),SA006
B11,수익성자금운용_원화예치금,주요자금조달 및 운용(은행계정),SA006
B12,수익성자금운용_원화대출금,주요자금조달 및 운용(은행계정),SA006
B13,수익성자금운용_원화유가증권,주요자금조달 및 운용(은행계정),SA006
B14,수익성자금운용_원화대손충당금(-),주요자금조달 및 운용(은행계정),SA006
B15,수익성자금운용_기타원화자산운용,주요자금조달 및 운용(은행계정),SA006
B16,수익성자금운용_외화예치금,주요자금조달 및 운용(은행계정),SA006
B17,수익성자금운용_외화대출금,주요자금조달 및 운용(은행계정),SA006
B18,수익성자금운용_외화대손충당금(-),주요자금조달 및 운용(은행계정),SA006
B19,수익성자금운용_외화유가증권,주요자금조달 및 운용(은행계정),SA006
B1A,수익성자금운용_기타외화자산운용,주요자금조달 및 운용(은행계정),SA006
B2,무수익성자금운용,주요자금조달 및 운용(은행계정),SA006
B21,무수익성자금운용_현금 및 외국통화,주요자금조달 및 운용(은행계정),SA006
B22,무수익성자금운용_업무용유형자산,주요자금조달 및 운용(은행계정),SA006
B23,무수익성자금운용_기타무수익운용,주요자금조달 및 운용(은행계정),SA006
A1,현금예치금,요약재무상태표(자산-신탁계정),SA007
A2,유가증권,요약재무상태표(자산-신탁계정),SA007
A21,유가증권_주식,요약재무상태표(자산-신탁계정),SA007
A22,유가증권_국채,요약재무상태표(자산-신탁계정),SA007
A23,유가증권_금융채,요약재무상태표(자산-신탁계정),SA007
A24,유가증권_지방채,요약재무상태표(자산-신탁계정),SA007
A25,유가증권_사채,요약재무상태표(자산-신탁계정),SA007
A26,유가증권_외화유가증권,요약재무상태표(자산-신탁계정),SA007
A27,유가증권_매입어음,요약재무상태표(자산-신탁계정),SA007
A3,대출금,요약재무상태표(자산-신탁계정),SA007
A31,대출금_할인어음,요약재무상태표(자산-신탁계정),SA007
