finance_cd,finance_nm,finance_path,cate_1,cate_2,cate_3,cate_4
0010927,국민은행,국내은행\일반은행\시중은행\국민은행,국내은행,일반은행,시중은행,국민은행
0010014,국민은행(구)[폐],국내은행\일반은행\시중은행\국민은행(구)[폐],국내은행,일반은행,시중은행,국민은행(구)[폐]
0010004,서울은행[폐],국내은행\일반은행\시중은행\서울은행[폐],국내은행,일반은행,시중은행,서울은행[폐]
0011625,신한은행,국내은행\일반은행\시중은행\신한은행,국내은행,일반은행,시중은행,신한은행
0010005,신한은행(구)[폐],국내은행\일반은행\시중은행\신한은행(구)[폐],국내은행,일반은행,시중은행,신한은행(구)[폐]
0010001,우리은행,국내은행\일반은행\시중은행\우리은행,국내은행,일반은행,시중은행,우리은행
0010003,조흥은행[폐],국내은행\일반은행\시중은행\조흥은행[폐],국내은행,일반은행,시중은행,조흥은행[폐]
0010012,평화은행[폐],국내은행\일반은행\시중은행\평화은행[폐],국내은행,일반은행,시중은행,평화은행[폐]
0013909,하나은행,국내은행\일반은행\시중은행\하나은행,국내은행,일반은행,시중은행,하나은행
0010010,하나은행(구)[폐],국내은행\일반은행\시중은행\하나은행(구)[폐],국내은행,일반은행,시중은행,하나은행(구)[폐]
0011228,하나은행[폐],국내은행\일반은행\시중은행\하나은행[폐],국내은행,일반은행,시중은행,하나은행[폐]
0010002,한국스탠다드차타드은행,국내은행\일반은행\시중은행\한국스탠다드차타드은행,국내은행,일반은행,시중은행,한국스탠다드차타드은행
0010006,한국씨티은행,국내은행\일반은행\시중은행\한국씨티은행,국내은행,일반은행,시중은행,한국씨티은행
0010013,한국외환은행[폐],국내은행\일반은행\시중은행\한국외환은행[폐],국내은행,일반은행,시중은행,한국외환은행[폐]
0010015,한국주택은행[폐],국내은행\일반은행\시중은행\한국주택은행[폐],국내은행,일반은행,시중은행,한국주택은행[폐]
0014674,주식회사 케이뱅크은행,국내은행\일반은행\인터넷전문은행\주식회사 케이뱅크은행,국내은행,일반은행,인터넷전문은행,주식회사 케이뱅크은행
0015130,한국카카오은행 주식회사,국내은행\일반은행\인터넷전문은행\한국카카오은행 주식회사,국내은행,일반은행,인터넷전문은행,한국카카오은행 주식회사
0010023,강원은행[폐],국내은행\일반은행\지방은행\강원은행[폐],국내은행,일반은행,지방은행,강원은행[폐]
0010024,경남은행,국내은행\일반은행\지방은행\경남은행,국내은행,일반은행,지방은행,경남은행
0010019,광주은행,국내은행\일반은행\지방은행\광주은행,국내은행,일반은행,지방은행,광주은행
0010016,대구은행,국내은행\일반은행\지방은행\대구은행,국내은행,일반은행,지방은행,대구은행
0010017,부산은행,국내은행\일반은행\지방은행\부산은행,국내은행,일반은행,지방은행,부산은행
0010022,전북은행,국내은행\일반은행\지방은행\전북은행,국내은행,일반은행,지방은행,전북은행
0010020,제주은행,국내은행\일반은행\지방은행\제주은행,국내은행,일반은행,지방은행,제주은행
0010025,충북은행[폐],국내은행\일반은행\지방은행\충북은행[폐],국내은행,일반은행,지방은행,충북은행[폐]
0010027,농업협동조합중앙회[폐],국내은행\특수은행\농업협동조합중앙회[폐],국내은행,특수은행,농업협동조합중앙회[폐],
0013175,농협은행주식회사,국내은행\특수은행\농협은행주식회사,국내은행,특수은행,농협은행주식회사,
0010028,수산업협동조합중앙회[폐],국내은행\특수은행\수산업협동조합중앙회[폐],국내은행,특수은행,수산업협동조합중앙회[폐],
0014807,수협은행,국내은행\특수은행\수협은행,국내은행,특수은행,수협은행,
0010026,중소기업은행,국내은행\특수은행\중소기업은행,국내은행,특수은행,중소기업은행,
0010029,축산업협동조합[폐],국내은행\특수은행\축산업협동조합[폐],국내은행,특수은행,축산업협동조합[폐],
0010030,한국산업은행,국내은행\특수은행\한국산업은행,국내은행,특수은행,한국산업은행,
0010031,한국수출입은행,국내은행\특수은행\한국수출입은행,국내은행,특수은행,한국수출입은행,
0010679,(주)엠유에프지은행 서울지점,외은지점\(주)엠유에프지은행 서울지점,외은지점,(주)엠유에프지은행 서울지점,,
0010037,BNP파리바,외은지점\BNP파리바,외은지점,BNP파리바,,
0010042,DBS은행,외은지점\DBS은행,외은지점,DBS은행,,
0010069,NCNB텍사스내쇼날[폐],외은지점\NCNB텍사스내쇼날[폐],외은지점,NCNB텍사스내쇼날[폐],,
0010047,OCBC,외은지점\OCBC,외은지점,OCBC,,
0010720,UBS은행[폐],외은지점\UBS은행[폐],외은지점,UBS은행[폐],,
0010043,UFJ[폐],외은지점\UFJ[폐],외은지점,UFJ[폐],,
0011692,골드만삭스인터내셔날은행 서울지점[폐],외은지점\골드만삭스인터내셔날은행 서울지점[폐],외은지점,골드만삭스인터내셔날은행 서울지점[폐],,
0011548,교통은행,외은지점\교통은행,외은지점,교통은행,,
0010081,구 케미칼[폐],외은지점\구 케미칼[폐],외은지점,구 케미칼[폐],,
0010080,그린드레이즈[폐],외은지점\그린드레이즈[폐],외은지점,그린드레이즈[폐],,
0011477,나테시스[폐],외은지점\나테시스[폐],외은지점,나테시스[폐],,
0010057,나폴리[폐],외은지점\나폴리[폐],외은지점,나폴리[폐],,
0010667,내쇼날웨스트민스터은행[폐],외은지점\내쇼날웨스트민스터은행[폐],외은지점,내쇼날웨스트민스터은행[폐],,
0010668,내쇼날카나다은행[폐],외은지점\내쇼날카나다은행[폐],외은지점,내쇼날카나다은행[폐],,
0010669,내쇼날커머어셜은행[폐],외은지점\내쇼날커머어셜은행[폐],외은지점,내쇼날커머어셜은행[폐],,
0010670,내쇼날호주은행[폐],외은지점\내쇼날호주은행[폐],외은지점,내쇼날호주은행[폐],,
0010671,네이션즈은행[폐],외은지점\네이션즈은행[폐],외은지점,네이션즈은행[폐],,
0014839,노던트러스트컴퍼니 서울지점,외은지점\노던트러스트컴퍼니 서울지점,외은지점,노던트러스트컴퍼니 서울지점,,
0010672,노바스코셔은행,외은지점\노바스코셔은행,외은지점,노바스코셔은행,,
0010673,뉴욕멜론은행,외은지점\뉴욕멜론은행,외은지점,뉴욕멜론은행,,
0010068,뉴질란드[폐],외은지점\뉴질란드[폐],외은지점,뉴질란드[폐],,
0010674,다이와은행[폐],외은지점\다이와은행[폐],외은지점,다이와은행[폐],,
0010676,대화(UOB)은행,외은지점\대화(UOB)은행,외은지점,대화(UOB)은행,,
0010677,도오까이은행[폐],외은지점\도오까이은행[폐],외은지점,도오까이은행[폐],,
0010678,도이치은행,외은지점\도이치은행,외은지점,도이치은행,,
0010085,독일중앙협동은행[폐],외은지점\독일중앙협동은행[폐],외은지점,독일중앙협동은행[폐],,
0010680,동경은행[폐],외은지점\동경은행[폐],외은지점,동경은행[폐],,
0010681,드래스드너은행[폐],외은지점\드래스드너은행[폐],외은지점,드래스드너은행[폐],,
0010077,레이니어내쇼날[폐],외은지점\레이니어내쇼날[폐],외은지점,레이니어내쇼날[폐],,
0010078,로이즈[폐],외은지점\로이즈[폐],외은지점,로이즈[폐],,
0010054,롬바르디저축[폐],외은지점\롬바르디저축[폐],외은지점,롬바르디저축[폐],,
0010084,리먼브라더스은행[폐],외은지점\리먼브라더스은행[폐],외은지점,리먼브라더스은행[폐],,
