dt,close,change,rate,open,high,low
2019-04-19,12.45,-0.4,-0.0311,12.71,12.83,12.44
2019-04-18,12.85,0.2,0.015800001,12.88,13.13,12.78
2019-04-17,12.65,-0.01,-0.0008,12.81,12.82,12.65
2019-04-16,12.66,-0.26,-0.0201,13.04,13.08,12.62
2019-04-15,12.92,0.51,0.041100003,12.84,13.04,12.78
2019-04-12,12.41,0.12,0.0098,12.7,12.76,12.33
2019-04-11,12.29,-18.11,-0.5957,12.62,12.63,12.1
2019-04-10,30.4,17.73,1.3994,12.91,30.41,12.61
2019-04-09,12.67,-0.48,-0.0365,13.1,13.19,12.65
2019-04-08,13.15,-0.44,-0.0324,13.86,13.9,13.09
2019-04-05,13.59,-0.01,-0.0007,13.66,13.84,13.47
2019-04-04,13.6,0.31,0.0233,13.49,13.6,13.3
2019-04-03,13.29,-0.05,-0.0037,13.4,13.43,13.1
2019-04-02,13.34,-0.39,-0.028399998,13.42,13.65,13.33
2019-04-01,13.73,-0.56,-0.0392,13.8,13.9,13.65
2019-03-29,14.29,-0.63,-0.0422,14.84,14.91,14.08
2019-03-28,14.92,0.25,0.017,15.07,15.39,14.92
2019-03-27,14.67,-0.15,-0.0101,15.3,15.4,14.62
2019-03-26,14.82,-0.24,-0.0159,14.78,14.99,14.61
2019-03-25,15.06,1.96,0.1496,14.67,15.18,14.63
2019-03-22,13.1,-0.38,-0.028199999,13.35,13.36,13.09
2019-03-21,13.48,-0.47,-0.0337,13.72,13.9,13.41
2019-03-20,13.95,0.35,0.0257,13.94,14.7,13.93
2019-03-19,13.6,-0.3,-0.0216,14.31,14.35,13.6
2019-03-18,13.9,0.3,0.0221,14.23,14.32,13.89
2019-03-15,13.6,-0.36,-0.025799999,13.92,14.27,13.43
2019-03-14,13.96,-0.83,-0.0561,14.33,14.67,13.79
2019-03-13,14.79,0.19,0.012999999,14.77,15.44,14.44
2019-03-12,14.6,-0.98,-0.0629,14.65,14.9,14.47
2019-03-11,15.58,0.41,0.027,15.33,15.98,15.3
2019-03-08,15.17,0.62,0.042600002,14.94,15.34,14.71
2019-03-07,14.55,0.02,0.0014,14.78,15.14,14.55
2019-03-06,14.53,-0.22,-0.0149,14.93,14.97,14.52
2019-03-05,14.75,-0.26,-0.0173,15.29,15.31,14.75
2019-03-04,15.01,-0.48,-0.031,14.8,15.07,14.61
2019-02-28,15.49,0.95,0.0653,15.1,15.66,14.86
2019-02-27,14.54,-0.09,-0.0062,14.7,14.78,14.22
2019-02-26,14.63,0.04,0.0027,14.8,14.91,14.51
2019-02-25,14.59,0.39,0.0275,14.79,15.05,14.59
2019-02-22,14.2,-0.33,-0.0227,14.86,14.91,14.17
2019-02-21,14.53,-0.11,-0.0075,14.8,14.93,14.51
2019-02-20,14.64,-0.51,-0.0337,14.95,15.03,14.6
2019-02-19,15.15,0.86,0.0602,15.48,15.53,14.7
2019-02-18,14.29,0.05,0.0034999999,14.25,14.93,14.25
2019-02-15,14.24,0.48,0.0349,13.94,14.67,13.79
2019-02-14,13.76,-2.01,-0.1275,15.69,15.69,13.4
2019-02-13,15.77,0.89,0.0598,14.83,15.77,14.74
2019-02-12,14.88,0.01,0.0007,14.7,14.88,14.54
2019-02-11,14.87,0.04,0.0027,15.17,15.18,14.67
2019-02-08,14.83,0.08,0.0054,15.15,15.47,14.76
2019-02-07,14.75,-0.11,-0.0074,15.24,15.26,14.66
2019-02-01,14.86,-0.65,-0.0419,15.6,15.6,14.72
2019-01-31,15.51,-1.48,-0.0871,16.14,16.16,15.51
2019-01-30,16.99,1.81,0.1192,15.56,17.04,15.53
2019-01-29,15.18,0.24,0.0161,15.23,15.46,15.14
2019-01-28,14.94,0.52,0.0361,14.96,15.14,14.85
2019-01-25,14.42,0.39,0.0278,13.91,14.89,13.91
2019-01-24,14.03,-0.77,-0.051999997,14.63,14.72,14.0
2019-01-23,14.8,-0.13,-0.0087,15.13,15.22,14.8
2019-01-22,14.93,0.29,0.0198,14.84,15.03,14.62
2019-01-21,14.64,0.32,0.0223,14.95,15.18,14.64
2019-01-18,14.32,-0.66,-0.044099998,14.85,14.91,14.31
2019-01-17,14.98,0.36,0.024600001,14.81,15.08,14.65
2019-01-16,14.62,-0.44,-0.0292,14.95,15.06,14.62
2019-01-15,15.06,0.09,0.006,14.58,15.17,14.29
2019-01-14,14.97,0.3,0.020399999,15.16,15.21,14.66
2019-01-11,14.67,-0.34,-0.0227,14.73,15.21,14.39
2019-01-10,15.01,-0.44,-0.028499998,15.38,15.92,14.84
2019-01-09,15.45,-0.68,-0.0422,15.44,15.56,15.35
2019-01-08,16.13,-0.54,-0.0324,16.31,16.38,15.89
2019-01-07,16.67,-1.29,-0.0718,17.15,17.16,16.48
2019-01-04,17.96,-1.29,-0.067,19.16,19.23,17.96
2019-01-03,19.25,-0.49,-0.0248,19.64,19.7,19.08
2019-01-02,19.74,0.75,0.0395,18.95,20.19,18.92
2018-12-28,18.99,-0.27,-0.0139999995,18.88,19.14,18.85
2018-12-27,19.26,-2.48,-0.1141,20.54,20.55,19.1
2018-12-26,21.74,2.25,0.1154,21.08,22.52,20.97
2018-12-24,19.49,0.82,0.043899998,19.75,19.95,19.46
2018-12-21,18.67,0.1,0.0054,18.83,19.17,18.65
2018-12-20,18.57,0.72,0.0403,18.39,19.01,17.54
2018-12-19,17.85,-0.13,-0.0072000003,17.92,18.03,17.64
2018-12-18,17.98,0.54,0.031,17.96,18.42,17.32
2018-12-17,17.44,-0.21,-0.0119,17.85,18.02,17.15
2018-12-14,17.65,1.78,0.1122,15.67,18.01,15.67
2018-12-13,15.87,-1.38,-0.08,17.03,17.03,15.87
2018-12-12,17.25,-1.37,-0.0736,18.19,18.25,17.13
2018-12-11,18.62,-1.2,-0.060500003,19.55,19.69,18.62
2018-12-10,19.82,1.67,0.092,20.09,20.45,19.54
2018-12-07,18.15,-0.81,-0.0427,18.07,18.88,18.01
2018-12-06,18.96,1.86,0.1088,17.79,19.09,17.69
2018-12-05,17.1,0.35,0.0209,17.75,17.8,17.06
2018-12-04,16.75,0.13,0.0078,16.69,17.0,16.35
2018-12-03,16.62,-1.95,-0.105,17.22,17.25,16.5
2018-11-30,18.57,0.58,0.0322,18.3,18.75,18.14
2018-11-29,17.99,0.45,0.0257,17.25,18.19,17.19
2018-11-28,17.54,0.08,0.0046,17.62,17.87,17.52
2018-11-27,17.46,-0.36,-0.0202,17.65,17.88,17.34
2018-11-26,17.82,-0.66,-0.0357,18.57,18.71,17.79
2018-11-23,18.48,0.07,0.0038,18.36,18.96,18.29
2018-11-22,18.41,-0.5,-0.026400002,18.74,18.88,18.41
