,aq,cr,cv,dt,hv,lv,ncv,ov,rf
0,92571,1.02,700,20190401,69400.0,68200.0,69400,68800.0,2
1,161680,-1.5759312,-1100,20190329,71000.0,68100.0,68700,70400.0,5
2,83647,-0.8522727,-600,20190328,70400.0,69100.0,69800,69600.0,5
3,86403,-0.7052186,-500,20190327,71000.0,70000.0,70400,70800.0,5
4,63767,1.1412268,800,20190326,71300.0,69600.0,70900,70100.0,2
5,67339,-0.7082152,-500,20190325,70600.0,69500.0,70100,70300.0,5
6,120137,0.0,0,20190322,71400.0,69700.0,70600,69900.0,3
7,132041,-3.1550068,-2300,20190321,72900.0,70000.0,70600,72300.0,5
8,57652,0.0,0,20190320,73100.0,72000.0,72900,72000.0,3
9,66336,0.5517241,400,20190319,72900.0,71900.0,72900,72000.0,2
10,90948,1.5406162,1100,20190318,72500.0,70800.0,72500,72200.0,2
11,196881,2.1459227,1500,20190315,71800.0,69300.0,71400,69300.0,2
12,270068,2.0437956,1400,20190314,70300.0,68600.0,69900,68600.0,2
13,272837,-2.1428571,-1500,20190313,70000.0,67700.0,68500,69600.0,5
14,72135,0.2865329,200,20190312,70800.0,69800.0,70000,69800.0,2
15,81758,0.5763688,400,20190311,70500.0,68400.0,69800,68900.0,2
16,70121,-1.6997167,-1200,20190308,70100.0,69200.0,69400,69700.0,5
17,99441,-1.6713091,-1200,20190307,72800.0,70300.0,70600,72700.0,5
18,98345,-0.6915629,-500,20190306,72900.0,71300.0,71800,72900.0,5
19,81301,0.6963788,500,20190305,72500.0,70700.0,72300,71100.0,2
20,148586,-0.9655172,-700,20190304,73500.0,71000.0,71800,73200.0,5
21,123729,0.0,0,20190228,73100.0,71400.0,72500,72800.0,3
22,80747,-1.226158,-900,20190227,73500.0,71600.0,72500,73500.0,5
23,110950,-0.1360544,-100,20190226,73600.0,71800.0,73400,72600.0,5
24,131395,1.9417475,1400,20190225,76000.0,72800.0,73500,72800.0,2
25,104656,0.0,0,20190222,72500.0,71400.0,72100,71400.0,3
26,106556,-1.367989,-1000,20190221,72800.0,71600.0,72100,72500.0,5
27,165182,1.8105849,1300,20190220,73200.0,70700.0,73100,71800.0,2
28,100747,-0.139082,-100,20190219,72500.0,71000.0,71800,71000.0,5
29,89714,1.1251758,800,20190218,72300.0,70800.0,71900,71000.0,2
30,105290,-1.7955801,-1300,20190215,72400.0,70500.0,71100,71200.0,5
31,167910,0.97629,700,20190214,72400.0,70800.0,72400,70800.0,2
32,117975,1.4144271,1000,20190213,72000.0,70200.0,71700,71100.0,2
33,91943,0.2836879,200,20190212,71200.0,70000.0,70700,71200.0,2
34,68513,-0.2828854,-200,20190211,71500.0,70100.0,70500,71500.0,5
35,100417,1.2893982,900,20190208,70900.0,69600.0,70700,70200.0,2
36,95271,-1.2729844,-900,20190207,71500.0,69000.0,69800,71400.0,5
37,182614,1.7266187,1200,20190201,72200.0,69300.0,70700,69300.0,2
38,144136,0.1440922,100,20190131,70000.0,68600.0,69500,70000.0,2
39,108702,1.6105417,1100,20190130,69400.0,68000.0,69400,68900.0,2
40,143897,0.1466275,100,20190129,68400.0,67700.0,68300,67900.0,2
41,91859,0.7385524,500,20190128,68300.0,67100.0,68200,67300.0,2
42,127281,-1.5988372,-1100,20190125,68800.0,67400.0,67700,68000.0,5
43,109540,1.9259259,1300,20190124,68800.0,66600.0,68800,66700.0,2
44,120907,-0.2954209,-200,20190123,68400.0,66900.0,67500,67400.0,5
45,155110,-0.2945508,-200,20190122,68200.0,67000.0,67700,67500.0,5
46,73312,-0.8759124,-600,20190121,69000.0,67600.0,67900,69000.0,5
47,153795,0.0,0,20190118,68900.0,67400.0,68500,68800.0,3
