,name,section
A001490,천지산업,1
A001890,에이치디씨영창,1
A001970,SG신성건설,1
A002470,신영건설,1
A002480,범양사,1
A002580,삼미,1
A003260,서광,1
A003340,SK건설,1
A005900,동양건설산업,1
A007150,동양텔레콤,1
A007640,애큐온저축은행,1
A008120,엠소닉,1
A008340,대주코레스,1
A008690,한양,1
A009280,다함이텍,1
A010090,이마트에브리데이,1
A011870,엘티삼보,1
A012350,한국체인공업,1
A012580,신세계톰보이,1
A012670,환영철강공업,1
A012760,동아,1
A013090,인켈,1
A013890,지누스,1
A013900,두원중공업,1
A015150,다산,1
A015200,성원,1
A018360,삼성메디슨,1
A020920,코리아로터리,1
A025100,포스코건설,1
A026710,동진건설,1
A026970,대백저축은행,1
A030010,하이투자증권,1
A030950,보진재,1
A031690,케이티파워텔,1
A033030,지오엠씨,1
A033480,제주국제컨벤,1
A035430,드림라인,1
A036150,에스피반도체,1
A036220,오상헬스케어,1
A036840,휴코드,1
A037640,지에스엔텍,1
A037890,에어미디어,1
A038520,오리엔트전자,1
A038710,콜마파마,1
A040100,케이아이티,1
A040470,코리아2000,1
A040480,코캄,1
A040830,롯데글로벌로지스,1
A040870,파이널데이터,1
A041500,대한바이오,1
A041710,씽크풀,1
A042380,세메스,1
A043500,드림텍,1
A043720,안국바이오,1
A045020,포앤티,1
A046290,효성캐피탈,1
A046400,루트원플러스,1
A047730,텔라움,1
A049130,하우리,1
A049410,아주엠씨엠,1
A050480,마이다스IT,1
A051810,모보,1
A052510,에코솔루션,1
A054190,한국우사회,1
A056880,휘라포토닉스,1
A061610,투에버,1
A062760,코스텍시스,1
A06276K,코스텍2우,1
A06276L,코스텍3우,1
A063180,유니텍,1
A065050,조인트리,1
A065310,더스텔라,1
A066190,삼중테크,1
A066400,HANATOURIST,1
A066870,비트로시스,1
A068420,엔터미디어,1
A070080,삼보오토,1
A070480,신비앤텍,1
A072700,더존다스,1
A073710,씨디네트웍스,1
A073960,씨브이네트,1
A075120,현대아산,1
A078060,매일방송,1
A079180,내일신문,1
A080640,미라콤아이앤씨,1
A084820,피케이밸브,1
A087800,케이디비생명,1
A099620,코엔스,1
A101910,디비메탈,1
A102950,아하정보통신,1
A104230,LS전선,1
A104690,제이앤드,1
A104770,IBK투자증권,1
A110030,완도전복,1
A114290,에스코어,1
A114750,와이디생명과학,1
A115410,케이디이노,1
A115580,현대인프라,1
A123900,골든블루,1
A129050,앤알커뮤니,1
A130480,모아정보기술,1
A134610,HK자산관리대부,1
A140310,자일자동차판매,1
A140320,대우산업개발,1
A143500,KBS미디어,1
A161990,삼보컴퓨터,1
A166220,지에스엘,1
A168570,산타크루즈,1
A179690,셀인바이오,1
A190410,LS아이앤디,1
A192230,아리바이오,1
A201150,교육혁명,1
A206300,엠텍비젼,1
A224850,더치카페,1
A227680,뉴젠홀딩스,1
A236900,모헤닉게라지스,1
A237010,끄렘드라끄렘,1
A238730,에스엠면세점,1
A241140,한국지네틱팜,1
A252980,대영씨엔이,1
A266470,바이오인프라생명과학,1
A268860,네오플럭스,1
A276620,비보존,1
A277820,에스엠아이,1
A279000,서울개인택시복지법인,1
A293290,아이엔오기술,1
A308140,제로웹,1
