,name,section
A000250,삼천당제약,1
A000440,중앙에너비스,1
A001000,신라섬유,1
A001540,안국약품,1
A001810,무림SP,1
A001840,이화공영,1
A002230,피에스텍,1
A002290,삼일기업공사,1
A002680,한탑,1
A002800,신신제약,1
A003100,선광,1
A003310,대주산업,1
A003380,하림지주,1
A003670,포스코케미칼,1
A003800,에이스침대,1
A004590,한국가구,1
A004650,창해에탄올,1
A004780,대륙제관,1
A005160,동국산업,1
A005290,동진쎄미켐,1
A005670,푸드웰,1
A005710,대원산업,1
A005860,한일사료,1
A005990,매일홀딩스,1
A006050,국영지앤엠,1
A006140,피제이전자,1
A006580,대양제지,1
A006620,동구바이오제약,1
A006730,서부T&D,1
A006910,보성파워텍,1
A006920,모헨즈,1
A007330,푸른저축은행,1
A007370,진양제약,1
A007390,네이처셀,1
A007530,영신금속,1
A007680,대원,1
A007720,대명코퍼레이션,1
A007770,한일화학,1
A007820,에스엠코어,1
A008290,원풍물산,1
A008370,원풍,1
A008470,부스타,1
A008800,스튜디오썸머,1
A008830,대동기어,1
A009300,삼아제약,1
A009520,포스코엠텍,1
A009620,삼보산업,1
A009730,코센,1
A009780,엠에스씨,1
A010170,대한광통신,1
A010240,흥국,1
A010280,쌍용정보통신,1
A010470,오리콤,1
A011040,경동제약,1
A011080,형지I&C,1
A011320,유니크,1
A011370,서한,1
A011560,세보엠이씨,1
A012340,뉴인텍,1
A012620,원일특강,1
A012700,리드코프,1
A012790,신일제약,1
A012860,서연전자,1
A013030,하이록코리아,1
A013120,동원개발,1
A013310,아진산업,1
A013720,청보산업,1
A013810,스페코,1
A013990,아가방컴퍼니,1
A014100,보령메디앙스,1
A014190,원익큐브,1
A014200,광림,1
A014470,부방,1
A014570,고려제약,1
A014620,성광벤드,1
A014940,오리엔탈정공,1
A014970,삼륭물산,1
A015710,코콤,1
A015750,성우하이텍,1
A016100,리더스코스메틱,1
A016250,이테크건설,1
A016600,큐캐피탈,1
A016670,포비스티앤씨,1
A016790,현대사료,1
A016920,카스,1
A017000,신원종합개발,1
A017250,인터엠,1
A017480,삼현철강,1
A017510,세명전기,1
A017650,대림제지,1
A017680,데코앤이,1
A017890,한국알콜,1
A018000,유니슨,1
A018120,진로발효,1
A018290,지엠피,1
A018310,삼목에스폼,1
A018620,우진비앤지,1
A018680,서울제약,1
A018700,바른손,1
A019010,그랜드백화점,1
A019210,와이지-원,1
A019540,일지테크,1
A019550,SBI인베스트먼트,1
A019570,제미니투자,1
A019590,엠벤처투자,1
A019660,글로본,1
A019770,서연탑메탈,1
