,CYCLE,ORG_NAME,P_STAT_CODE,SRCH_YN,STAT_CODE,STAT_NAME
1,MM,,000Y005,Y,010Y002,1.1.주요 통화금융지표
4,MM,,000Y701,Y,054Y407,"1.2.1.1 본원통화 구성내역(말잔, 계절조정계열)"
5,MM,,000Y701,Y,054Y007,"1.2.1.2 본원통화 구성내역(말잔,원계열)"
7,MM,,000Y702,Y,054Y408,"1.2.2.1 본원통화 구성내역(평잔, 계절조정계열)"
8,MM,,000Y702,Y,054Y008,"1.2.2.2 본원통화 구성내역(평잔,원계열)"
11,MM,,000Y703,Y,001Y406,"1.3.1.1 M2 상품별구성내역(말잔, 계절조정계열)"
12,MM,,000Y703,Y,001Y006,"1.3.1.2 M2 상품별구성내역(말잔,원계열)"
14,MM,,000Y704,Y,001Y407,"1.3.2.1 M2 상품별구성내역(평잔, 계절조정계열)"
15,MM,,000Y704,Y,001Y007,"1.3.2.2 M2 상품별구성내역(평잔,원계열)"
17,MM,,000Y705,Y,001Y450,"1.3.3.1 M2 경제주체별 보유현황(말잔, 계절조정계열)"
18,MM,,000Y705,Y,001Y452,"1.3.3.2 M2 경제주체별 보유현황(말잔, 원계열)"
20,MM,,000Y706,Y,001Y451,"1.3.4.1 M2 경제주체별 보유현황(평잔, 계절조정계열)"
21,MM,,000Y706,Y,001Y453,"1.3.4.2 M2 경제주체별 보유현황(평잔, 원계열)"
22,MM,,000Y006,Y,001Y008,1.3.5 M2 기관별구성내역(말잔)
23,MM,,000Y006,Y,001Y009,1.3.6 M2 기관별구성내역(평잔)
24,MM,,000Y005,Y,001Y003,"1.4.예금취급기관 개관표  (종합표,말잔)"
25,MM,,001Y003,Y,001Y004,1.4.1 중앙은행 개관표(말잔)
26,MM,,001Y003,Y,001Y005,1.4.2 기타예금취급기관 개관표(말잔)
29,MM,,000Y707,Y,075Y401,"1.5.1.1 Lf 상품별구성내역(말잔, 계절조정계열)"
30,MM,,000Y707,Y,075Y001,"1.5.1.2 Lf 상품별 구성내역(말잔,원계열)"
32,MM,,000Y708,Y,075Y402,"1.5.2.1 Lf 상품별구성내역(평잔, 계절조정계열)"
33,MM,,000Y708,Y,075Y002,"1.5.2.2 Lf 상품별 구성내역(평잔,원계열)"
34,MM,,000Y042,Y,075Y003,1.5.3 Lf 기관별 구성내역(말잔)
35,MM,,000Y042,Y,075Y004,1.5.4 Lf 기관별 구성내역(평잔)
37,MM,,000Y709,Y,076Y401,"1.6.1 L(광의유동성) 구성내역(말잔, 계절조정계열)"
38,MM,,000Y709,Y,076Y001,"1.6.2 L(광의유동성) 구성  내역(말잔,원계열)"
40,MM,,000Y055,Y,054Y001,2.1.한국은행 주요계정  (말잔)
41,MM,,000Y055,Y,054Y002,2.2.화폐발행잔액
42,MM,,000Y055,Y,050Y001,2.3.예금은행 지급준비액  (평잔)
44,MM,,000Y055,Y,054Y005,2.5.한국은행 원화대출금(말잔)
48,MM,,000Y057,Y,001Y011,3.1.1 예금은행 종별예금(말잔)
49,MM,,000Y057,Y,001Y048,3.1.2 예금은행 종별예금(평잔)
50,MM,,000Y057,Y,001Y051,3.1.3 예금은행 예금주별예금(말잔)
51,MM,,000Y057,Y,001Y052,3.1.4 예금은행 기간별 정기예금(말잔)
52,MM,,000Y057,Y,004Y013,3.1.5 예금은행 총수신(말잔)
53,MM,,000Y057,Y,004Y014,3.1.6 예금은행 총수신(평잔)
54,MM,,000Y007,Y,001Y012,3.2.예금은행 자금별  대출금(말잔)
69,MM,,000Y043,Y,075Y005,3.4.1 비은행기관 수신(말잔)
70,MM,,000Y043,Y,075Y006,3.4.2 비은행기관 수신(평잔)
